,State, Alcohol-Impaired Driving Deaths, Occupant Deaths 
41,AK,205,439
4,AL,2997,7754
26,AR,1636,4526
50,AZ,2656,5712
43,CA,9791,20733
44,CO,1599,3521
32,CT,1049,1806
29,DC,96,130
11,DE,430,767
27,FL,8053,16041
30,GA,3513,10406
25,HI,453,587
16,IA,967,2970
35,ID,661,1725
48,IL,3554,7348
31,IN,2171,5966
38,KS,1142,3248
21,KY,1900,6133
40,LA,2875,6073
12,MA,1309,2465
24,MD,1586,3454
23,ME,454,1231
18,MI,2710,6699
28,MN,1274,3248
46,MO,3004,7219
15,MS,2367,6100
19,MT,897,1778
1,NC,3996,10093
49,ND,539,1078
14,NE,631,1919
20,NH,386,853
8,NJ,1747,3832
42,NM,1166,2766
13,NV,968,1962
3,NY,3605,7013
37,OH,3457,8223
36,OK,2095,5711
2,OR,1129,2735
7,PA,4355,9656
5,RI,265,429
34,SC,3723,6648
22,SD,469,1107
39,TN,3154,8357
10,TX,13171,24013
47,UT,456,1882
9,VA,2518,6335
33,VT,199,535
17,WA,1799,3542
6,WI,2300,4572
45,WV,1040,2762
0,WY,484,1195
